Model,Working,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,Working1,0.7876543209876543,0.7901234567901234,0.7679012345679013,0.8,0.7901234567901234,0.782716049382716,0.7679012345679013,0.7333333333333333,0.8049382716049382
,Working2,0.8197530864197531,0.8123456790123457,0.8123456790123457,0.8345679012345679,0.8296296296296296,0.8123456790123457,0.8469135802469135,0.8049382716049382,0.8320987654320988
,Working3,0.8246913580246914,0.8197530864197531,0.8197530864197531,0.8271604938271605,0.817283950617284,0.8197530864197531,0.854320987654321,0.7975308641975308,0.8271604938271605
,Working4,0.8296296296296296,0.817283950617284,0.8197530864197531,0.8419753086419753,0.817283950617284,0.817283950617284,0.8395061728395061,0.7925925925925926,0.8444444444444444
Gradient Boosting,Working1,0.7654320987654321,0.7308641975308642,0.7333333333333333,0.7679012345679013,0.7308641975308642,0.7308641975308642,0.745679012345679,0.7061728395061728,0.7802469135802469
,Working2,0.7975308641975308,0.7851851851851852,0.7703703703703704,0.7679012345679013,0.8024691358024691,0.7851851851851852,0.7950617283950617,0.7925925925925926,0.7975308641975308
,Working3,0.7728395061728395,0.7876543209876543,0.7876543209876543,0.8123456790123457,0.7876543209876543,0.7876543209876543,0.8049382716049382,0.7753086419753087,0.7975308641975308
,Working4,0.7876543209876543,0.745679012345679,0.7777777777777778,0.7802469135802469,0.7950617283950617,0.7950617283950617,0.7975308641975308,0.8098765432098766,0.8222222222222222
K-Nearest Neighbour (KNN),Working1,0.7333333333333333,0.6839506172839506,0.7160493827160493,0.7308641975308642,0.6839506172839506,0.6987654320987654,0.7135802469135802,0.6691358024691358,0.6962962962962963
,Working2,0.7333333333333333,0.7308641975308642,0.7333333333333333,0.745679012345679,0.7012345679012346,0.7283950617283951,0.7382716049382716,0.6814814814814815,0.745679012345679
,Working3,0.7654320987654321,0.7802469135802469,0.7654320987654321,0.7703703703703704,0.782716049382716,0.7802469135802469,0.7876543209876543,0.7160493827160493,0.7802469135802469
,Working4,0.7506172839506173,0.7728395061728395,0.7481481481481481,0.7506172839506173,0.7728395061728395,0.7728395061728395,0.7901234567901234,0.7185185185185186,0.7580246913580246
Random Forest,Working1,0.762962962962963,0.7283950617283951,0.7555555555555555,0.762962962962963,0.7407407407407407,0.7382716049382716,0.7506172839506173,0.7234567901234568,0.762962962962963
,Working2,0.7851851851851852,0.7654320987654321,0.7876543209876543,0.7925925925925926,0.7679012345679013,0.7802469135802469,0.8123456790123457,0.7851851851851852,0.7925925925925926
,Working3,0.7975308641975308,0.7753086419753087,0.8,0.8024691358024691,0.7925925925925926,0.7925925925925926,0.8049382716049382,0.7753086419753087,0.8
,Working4,0.7802469135802469,0.7876543209876543,0.8074074074074075,0.8074074074074075,0.7851851851851852,0.7654320987654321,0.8222222222222222,0.7654320987654321,0.7851851851851852
Decision Tree,Working1,0.7111111111111111,0.6320987654320988,0.6691358024691358,0.6814814814814815,0.6370370370370371,0.6370370370370371,0.7333333333333333,0.6345679012345679,0.7358024691358025
,Working2,0.7432098765432099,0.671604938271605,0.7654320987654321,0.7086419753086419,0.6691358024691358,0.6839506172839506,0.7160493827160493,0.7037037037037037,0.7086419753086419
,Working3,0.7432098765432099,0.6839506172839506,0.7506172839506173,0.7037037037037037,0.6839506172839506,0.7061728395061728,0.7333333333333333,0.7234567901234568,0.7333333333333333
,Working4,0.745679012345679,0.6888888888888889,0.7506172839506173,0.7185185185185186,0.6839506172839506,0.6839506172839506,0.6938271604938272,0.7061728395061728,0.7185185185185186
Support Vector Machine (SVM),Working1,0.7777777777777778,0.7654320987654321,0.7382716049382716,0.7703703703703704,0.7654320987654321,0.7481481481481481,0.7283950617283951,0.691358024691358,0.7753086419753087
,Working2,0.8098765432098766,0.7851851851851852,0.8074074074074075,0.8098765432098766,0.8049382716049382,0.7851851851851852,0.8049382716049382,0.7753086419753087,0.8024691358024691
,Working3,0.7975308641975308,0.8024691358024691,0.7777777777777778,0.7975308641975308,0.8148148148148148,0.8024691358024691,0.7975308641975308,0.7555555555555555,0.8
,Working4,0.7901234567901234,0.7925925925925926,0.8074074074074075,0.8074074074074075,0.7925925925925926,0.7925925925925926,0.7950617283950617,0.7901234567901234,0.8148148148148148