Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Bayes
Gradient Boosting,0.8098765432098766,0.8144992022732301,0.8098765432098766,0.8115002463543021,vt,Bayes
SVM,0.817283950617284,0.8202380845340157,0.817283950617284,0.8174864714821043,vt,Bayes
Random Forest,0.7876543209876543,0.7911351650795131,0.7876543209876543,0.7886130466115018,vt,Bayes
KNN,0.7506172839506173,0.7556781065902973,0.7506172839506173,0.7507524434724291,vt,Bayes
Decision Tree,0.7209876543209877,0.7292990685042183,0.7209876543209877,0.7204782107252612,vt,Bayes
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Bayes
SVM,0.8123456790123457,0.8117199639236422,0.8123456790123457,0.8112356513931585,etc,Bayes
Random Forest,0.7950617283950617,0.7957730404206504,0.7950617283950617,0.7946851300680479,etc,Bayes
Gradient Boosting,0.7851851851851852,0.7870958948560733,0.7851851851851852,0.7854971970916214,etc,Bayes
KNN,0.762962962962963,0.7623881402672097,0.762962962962963,0.7607806230179112,etc,Bayes
Decision Tree,0.6888888888888889,0.685354657687991,0.6888888888888889,0.6868007717537437,etc,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,skb,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,skb,Bayes
Gradient Boosting,0.7950617283950617,0.7950311392562648,0.7950617283950617,0.7940658317057451,skb,Bayes
Random Forest,0.7802469135802469,0.7848137555118369,0.7802469135802469,0.7785626142968735,skb,Bayes
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,skb,Bayes
Decision Tree,0.6962962962962963,0.6951051352883292,0.6962962962962963,0.6948701840783786,skb,Bayes
Logistic Regression,0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Bayes
Gradient Boosting,0.7950617283950617,0.7980896385339206,0.7950617283950617,0.7956465905953748,rfe,Bayes
SVM,0.7950617283950617,0.7958996590060545,0.7950617283950617,0.7941328408316672,rfe,Bayes
Random Forest,0.7753086419753087,0.7779023272467015,0.7753086419753087,0.7760176855390566,rfe,Bayes
KNN,0.7432098765432099,0.742986099880543,0.7432098765432099,0.7421535429852443,rfe,Bayes
Decision Tree,0.7407407407407407,0.740554744192274,0.7407407407407407,0.7398264848199488,rfe,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,pc,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,pc,Bayes
Gradient Boosting,0.7876543209876543,0.7889932549974388,0.7876543209876543,0.7870860031638266,pc,Bayes
Random Forest,0.7753086419753087,0.7766712711157155,0.7753086419753087,0.7745789211061689,pc,Bayes
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,pc,Bayes
Decision Tree,0.691358024691358,0.6907785731836094,0.691358024691358,0.6901377076408949,pc,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,mi,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,mi,Bayes
Gradient Boosting,0.8098765432098766,0.81060021651909,0.8098765432098766,0.8101218742209426,mi,Bayes
Random Forest,0.7950617283950617,0.797412755957797,0.7950617283950617,0.7946259321776563,mi,Bayes
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,mi,Bayes
Decision Tree,0.6987654320987654,0.6984725156399261,0.6987654320987654,0.6975132202670312,mi,Bayes
Logistic Regression,0.8444444444444444,0.8473280919905855,0.8444444444444444,0.8446967213181774,mir,Bayes
SVM,0.8271604938271605,0.8312214967739381,0.8271604938271605,0.8279615273253312,mir,Bayes
Random Forest,0.8246913580246914,0.8252022670429604,0.8246913580246914,0.8246312637276695,mir,Bayes
Gradient Boosting,0.8049382716049382,0.8057397210950358,0.8049382716049382,0.8045123286357617,mir,Bayes
KNN,0.7851851851851852,0.78694233271452,0.7851851851851852,0.7831335330641975,mir,Bayes
Decision Tree,0.7333333333333333,0.7371189999034911,0.7333333333333333,0.7349168507053812,mir,Bayes
Logistic Regression,0.7925925925925926,0.7946889804976945,0.7925925925925926,0.792786493837252,mu,Bayes
Gradient Boosting,0.8024691358024691,0.8053795164035032,0.8024691358024691,0.8030482379496504,mu,Bayes
SVM,0.7901234567901234,0.7944330941467254,0.7901234567901234,0.7912323908223319,mu,Bayes
Random Forest,0.7802469135802469,0.7862870691968641,0.7802469135802469,0.7813602166370831,mu,Bayes
Decision Tree,0.7185185185185186,0.7157821176113859,0.7185185185185186,0.7165493243054385,mu,Bayes
KNN,0.7185185185185186,0.7151646977421345,0.7185185185185186,0.7146612894749471,mu,Bayes
Logistic Regression,0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,fscs,Bayes
SVM,0.8123456790123457,0.8145821251653247,0.8123456790123457,0.8122126285327993,fscs,Bayes
Random Forest,0.8,0.8028421806776758,0.8,0.7978711306140278,fscs,Bayes
Gradient Boosting,0.7901234567901234,0.7949538562953197,0.7901234567901234,0.7893131638714531,fscs,Bayes
Decision Tree,0.762962962962963,0.764331789333192,0.762962962962963,0.761988527776188,fscs,Bayes
KNN,0.7481481481481481,0.7533512047258847,0.7481481481481481,0.7476250454716826,fscs,Bayes
Logistic Regression,0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Grid
SVM,0.8074074074074075,0.8106948887637588,0.8074074074074075,0.8069908632231226,vt,Grid
Random Forest,0.8049382716049382,0.8079888423096585,0.8049382716049382,0.8054961521564947,vt,Grid
Gradient Boosting,0.7851851851851852,0.7875410243844486,0.7851851851851852,0.7853870648803644,vt,Grid
KNN,0.7703703703703704,0.7753511005361489,0.7703703703703704,0.7698363206355409,vt,Grid
Decision Tree,0.7086419753086419,0.7179547103848318,0.7086419753086419,0.7090380933518188,vt,Grid
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Grid
SVM,0.817283950617284,0.8168259971494506,0.817283950617284,0.8162557171619267,etc,Grid
Random Forest,0.782716049382716,0.7848687269026551,0.782716049382716,0.7831350532548509,etc,Grid
Gradient Boosting,0.7802469135802469,0.7821259774406484,0.7802469135802469,0.780741083081455,etc,Grid
KNN,0.762962962962963,0.7623881402672097,0.762962962962963,0.7607806230179112,etc,Grid
Decision Tree,0.7358024691358025,0.7377915817492338,0.7358024691358025,0.7365920687105927,etc,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,skb,Grid
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,skb,Grid
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,skb,Grid
Random Forest,0.7802469135802469,0.7804234757599985,0.7802469135802469,0.7789244233978575,skb,Grid
KNN,0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,skb,Grid
Decision Tree,0.7012345679012346,0.7016508921031152,0.7012345679012346,0.6999486212736731,skb,Grid
Logistic Regression,0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Grid
SVM,0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581,rfe,Grid
Random Forest,0.782716049382716,0.7834598374172601,0.782716049382716,0.7827203727227089,rfe,Grid
Gradient Boosting,0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655,rfe,Grid
KNN,0.7481481481481481,0.7471471550986013,0.7481481481481481,0.7459366374992886,rfe,Grid
Decision Tree,0.7407407407407407,0.7377593513525548,0.7407407407407407,0.7384639467882896,rfe,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,pc,Grid
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,pc,Grid
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,pc,Grid
Random Forest,0.7777777777777778,0.7778212808209966,0.7777777777777778,0.7769182565441901,pc,Grid
KNN,0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,pc,Grid
Decision Tree,0.7037037037037037,0.70539542755631,0.7037037037037037,0.7029003934278131,pc,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,mi,Grid
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,mi,Grid
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,mi,Grid
Random Forest,0.7728395061728395,0.773462245365674,0.7728395061728395,0.7726195962300132,mi,Grid
KNN,0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,mi,Grid
Decision Tree,0.6987654320987654,0.6984725156399261,0.6987654320987654,0.6975132202670312,mi,Grid
Logistic Regression,0.8444444444444444,0.8473280919905855,0.8444444444444444,0.8446967213181774,mir,Grid
SVM,0.8246913580246914,0.8279169308495357,0.8246913580246914,0.8255272738383632,mir,Grid
Random Forest,0.817283950617284,0.8185131329718739,0.817283950617284,0.8174683918778176,mir,Grid
Gradient Boosting,0.7925925925925926,0.7936894357254117,0.7925925925925926,0.7928623512840087,mir,Grid
KNN,0.7580246913580246,0.7561618442645058,0.7580246913580246,0.7556695265010736,mir,Grid
Decision Tree,0.7160493827160493,0.7175545878949072,0.7160493827160493,0.7156648827256382,mir,Grid
Logistic Regression,0.7925925925925926,0.7946889804976945,0.7925925925925926,0.792786493837252,mu,Grid
Gradient Boosting,0.8049382716049382,0.8073430230861279,0.8049382716049382,0.805639380382641,mu,Grid
Random Forest,0.7975308641975308,0.8008397434696751,0.7975308641975308,0.7981008151074885,mu,Grid
SVM,0.7925925925925926,0.7960146673657253,0.7925925925925926,0.7935579700444791,mu,Grid
KNN,0.7160493827160493,0.7112502949531768,0.7160493827160493,0.7105719883430233,mu,Grid
Decision Tree,0.7111111111111111,0.710128696202973,0.7111111111111111,0.7105266429471088,mu,Grid
Logistic Regression,0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,fscs,Grid
SVM,0.8123456790123457,0.8148891518562502,0.8123456790123457,0.8118711789720239,fscs,Grid
Gradient Boosting,0.7901234567901234,0.7937686705519716,0.7901234567901234,0.7896386746164098,fscs,Grid
Random Forest,0.7802469135802469,0.7825856589490368,0.7802469135802469,0.7789285723999686,fscs,Grid
KNN,0.7333333333333333,0.7388310000860125,0.7333333333333333,0.7336227250368675,fscs,Grid
Decision Tree,0.725925925925926,0.7267046362287118,0.725925925925926,0.723288035204342,fscs,Grid
Logistic Regression,0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Randomized
Gradient Boosting,0.8222222222222222,0.8248036201398773,0.8222222222222222,0.8227871037082455,vt,Randomized
SVM,0.8148148148148148,0.8172023461956666,0.8148148148148148,0.8150256167150012,vt,Randomized
Random Forest,0.7851851851851852,0.7917354771085736,0.7851851851851852,0.7869650109437498,vt,Randomized
KNN,0.7580246913580246,0.763068177758401,0.7580246913580246,0.7590492568944287,vt,Randomized
Decision Tree,0.7185185185185186,0.7216608391419708,0.7185185185185186,0.7182601332136502,vt,Randomized
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Randomized
SVM,0.8074074074074075,0.8084233049512066,0.8074074074074075,0.8076891900965973,etc,Randomized
Random Forest,0.8074074074074075,0.8092769486715504,0.8074074074074075,0.8072898231172049,etc,Randomized
Gradient Boosting,0.7802469135802469,0.7827183361484419,0.7802469135802469,0.7805008540340379,etc,Randomized
KNN,0.7506172839506173,0.7481352273777991,0.7506172839506173,0.7476811686964944,etc,Randomized
Decision Tree,0.7185185185185186,0.7184492706639228,0.7185185185185186,0.717851220807784,etc,Randomized
Logistic Regression,0.817283950617284,0.8190286310747521,0.817283950617284,0.8177827403320362,skb,Randomized
SVM,0.7925925925925926,0.7918160863699608,0.7925925925925926,0.7909120634122085,skb,Randomized
Random Forest,0.7876543209876543,0.7888904274767977,0.7876543209876543,0.7876699794164573,skb,Randomized
KNN,0.7728395061728395,0.7748889243883763,0.7728395061728395,0.7710771399480506,skb,Randomized
Gradient Boosting,0.745679012345679,0.7459553457542082,0.745679012345679,0.7441536085745973,skb,Randomized
Decision Tree,0.6888888888888889,0.6912623179289845,0.6888888888888889,0.6858062707100895,skb,Randomized
Logistic Regression,0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Randomized
SVM,0.7901234567901234,0.7902412822376357,0.7901234567901234,0.789632187856054,rfe,Randomized
Gradient Boosting,0.7876543209876543,0.790046416862536,0.7876543209876543,0.7880607422832621,rfe,Randomized
Random Forest,0.7802469135802469,0.7823676268861454,0.7802469135802469,0.7810026850971781,rfe,Randomized
KNN,0.7506172839506173,0.7511902306793058,0.7506172839506173,0.7503982265109695,rfe,Randomized
Decision Tree,0.745679012345679,0.7440861086434815,0.745679012345679,0.7433083645953836,rfe,Randomized
Logistic Regression,0.817283950617284,0.8190286310747521,0.817283950617284,0.8177827403320362,pc,Randomized
SVM,0.7925925925925926,0.7918160863699608,0.7925925925925926,0.7909120634122085,pc,Randomized
Gradient Boosting,0.7950617283950617,0.7948675999546607,0.7950617283950617,0.7948809960501153,pc,Randomized
Random Forest,0.7851851851851852,0.7875053736693608,0.7851851851851852,0.783606129673009,pc,Randomized
KNN,0.7728395061728395,0.7748889243883763,0.7728395061728395,0.7710771399480506,pc,Randomized
Decision Tree,0.6839506172839506,0.6885935088982599,0.6839506172839506,0.6817030304139333,pc,Randomized
Logistic Regression,0.817283950617284,0.8190286310747521,0.817283950617284,0.8177827403320362,mi,Randomized
SVM,0.7925925925925926,0.7918160863699608,0.7925925925925926,0.7909120634122085,mi,Randomized
Gradient Boosting,0.7950617283950617,0.7948675999546607,0.7950617283950617,0.7948809960501153,mi,Randomized
KNN,0.7728395061728395,0.7748889243883763,0.7728395061728395,0.7710771399480506,mi,Randomized
Random Forest,0.7654320987654321,0.7663089929880956,0.7654320987654321,0.7651915358159209,mi,Randomized
Decision Tree,0.6839506172839506,0.6885935088982599,0.6839506172839506,0.6817030304139333,mi,Randomized
Logistic Regression,0.8395061728395061,0.8427692843089194,0.8395061728395061,0.8396011896468398,mir,Randomized
Random Forest,0.8222222222222222,0.82360517056305,0.8222222222222222,0.8224844808802569,mir,Randomized
Gradient Boosting,0.7975308641975308,0.7995045734728274,0.7975308641975308,0.7980885271334799,mir,Randomized
SVM,0.7950617283950617,0.7965930619717834,0.7950617283950617,0.7955214084048549,mir,Randomized
KNN,0.7901234567901234,0.7922709993679083,0.7901234567901234,0.7891748505309285,mir,Randomized
Decision Tree,0.6938271604938272,0.7009064018678354,0.6938271604938272,0.6962676501744595,mir,Randomized
Logistic Regression,0.7925925925925926,0.7946889804976945,0.7925925925925926,0.792786493837252,mu,Randomized
Gradient Boosting,0.8098765432098766,0.8124433107254014,0.8098765432098766,0.8098998084511807,mu,Randomized
SVM,0.7901234567901234,0.7931907145240479,0.7901234567901234,0.7908883770814427,mu,Randomized
Random Forest,0.7654320987654321,0.7718816323816748,0.7654320987654321,0.7669116273134882,mu,Randomized
KNN,0.7185185185185186,0.7151646977421345,0.7185185185185186,0.7146612894749471,mu,Randomized
Decision Tree,0.7061728395061728,0.7035782099548878,0.7061728395061728,0.7036054241480598,mu,Randomized
Logistic Regression,0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,fscs,Randomized
Random Forest,0.8074074074074075,0.8103153604468212,0.8074074074074075,0.8067963520317449,fscs,Randomized
SVM,0.8074074074074075,0.8099932671223167,0.8074074074074075,0.8072669756779193,fscs,Randomized
Gradient Boosting,0.7777777777777778,0.783914386859276,0.7777777777777778,0.7785825864717298,fscs,Randomized
Decision Tree,0.7506172839506173,0.7549061465100424,0.7506172839506173,0.7513176232544557,fscs,Randomized
KNN,0.7481481481481481,0.7533512047258847,0.7481481481481481,0.7476250454716826,fscs,Randomized