Model,Accuracy,Precision,Recall,F1,Feature_Set
Logistic Regression,0.8,0.7987540649531613,0.8,0.7984704108482832,ETC
SVM,0.7901234567901234,0.7908730001540458,0.7901234567901234,0.7893032796446428,ETC
CNN,0.7777777777777778,0.7791557186111198,0.7777777777777778,0.77834402754681,ETC
ANN,0.7753086419753087,0.7737676695944476,0.7753086419753087,0.7709819995302172,ETC
Gradient Boosting,0.762962962962963,0.7656276265258375,0.762962962962963,0.7639837477837735,ETC
Random Forest,0.762962962962963,0.7646624358665258,0.762962962962963,0.7627826893770987,ETC
KNN,0.6987654320987654,0.7008389588195437,0.6987654320987654,0.6954692764100908,ETC
Decision Tree,0.6419753086419753,0.6533421428366518,0.6419753086419753,0.6437650508347434,ETC
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,FSCS
SVM,0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571,FSCS
Gradient Boosting,0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602,FSCS
ANN,0.7382716049382716,0.7456967125057908,0.7382716049382716,0.733809300981934,FSCS
Random Forest,0.7283950617283951,0.7315499162990202,0.7283950617283951,0.7279991758936514,FSCS
CNN,0.7209876543209877,0.723461677148916,0.7209876543209877,0.7206219026824914,FSCS
Decision Tree,0.6765432098765433,0.6796865738801222,0.6765432098765433,0.6766976791360979,FSCS
KNN,0.6617283950617284,0.6645980285002193,0.6617283950617284,0.6590360002381794,FSCS
Logistic Regression,0.7876543209876543,0.7876156470428777,0.7876543209876543,0.7857719708975298,MI
SVM,0.762962962962963,0.765043336115074,0.762962962962963,0.763226082591213,MI
Random Forest,0.7407407407407407,0.7431180513492263,0.7407407407407407,0.7412584289011067,MI
CNN,0.7382716049382716,0.7510531130942544,0.7382716049382716,0.7400724591576183,MI
Gradient Boosting,0.7333333333333333,0.7336399703198511,0.7333333333333333,0.7321530813204208,MI
ANN,0.725925925925926,0.7266600818798387,0.725925925925926,0.7208852355142656,MI
KNN,0.7061728395061728,0.7069618652550005,0.7061728395061728,0.699540545492003,MI
Decision Tree,0.6123456790123457,0.6135720834447146,0.6123456790123457,0.612317739307338,MI
Logistic Regression,0.7703703703703704,0.7697539464461559,0.7703703703703704,0.7698481837759878,MIR
CNN,0.7654320987654321,0.7690911033028428,0.7654320987654321,0.7659657572680357,MIR
Random Forest,0.7555555555555555,0.7538999570204893,0.7555555555555555,0.7541957515029507,MIR
ANN,0.7555555555555555,0.7535250699880148,0.7555555555555555,0.752912406815656,MIR
Gradient Boosting,0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,MIR
SVM,0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,MIR
Decision Tree,0.6765432098765433,0.6777545362342953,0.6765432098765433,0.6762049449176345,MIR
KNN,0.691358024691358,0.6950041948511213,0.691358024691358,0.686164278389218,MIR
Logistic Regression,0.7283950617283951,0.7324378910080891,0.7283950617283951,0.7291389677517667,MU
SVM,0.7234567901234568,0.7282516728928716,0.7234567901234568,0.7243622570178327,MU
Random Forest,0.7209876543209877,0.7271696250107871,0.7209876543209877,0.7228858801781938,MU
CNN,0.7209876543209877,0.7288924577998293,0.7209876543209877,0.7223624253085025,MU
ANN,0.7061728395061728,0.7029612753883968,0.7061728395061728,0.7013018996435322,MU
Gradient Boosting,0.7061728395061728,0.7071640419218476,0.7061728395061728,0.7061752508840755,MU
Decision Tree,0.6691358024691358,0.6733083213083213,0.6691358024691358,0.6706152644688369,MU
KNN,0.6395061728395062,0.646249445712846,0.6395061728395062,0.6387872151002008,MU
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,PC
CNN,0.7802469135802469,0.7884162321242278,0.7802469135802469,0.7808557688092679,PC
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,PC
ANN,0.7530864197530864,0.75991996505491,0.7530864197530864,0.7488383974384916,PC
Random Forest,0.7432098765432099,0.7462332941889577,0.7432098765432099,0.7436759975200173,PC
Gradient Boosting,0.7407407407407407,0.7398109083049174,0.7407407407407407,0.7391430865904703,PC
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,PC
Decision Tree,0.6123456790123457,0.6120261244532793,0.6123456790123457,0.6100941731020825,PC
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,RFE
SVM,0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,RFE
Random Forest,0.7703703703703704,0.7759701127732711,0.7703703703703704,0.7715184258556056,RFE
ANN,0.7654320987654321,0.7669998500524816,0.7654320987654321,0.7633253367551494,RFE
CNN,0.745679012345679,0.7569161762277861,0.745679012345679,0.7468427772976403,RFE
Gradient Boosting,0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,RFE
KNN,0.7185185185185186,0.7209094539232521,0.7185185185185186,0.7155153283395099,RFE
Decision Tree,0.6617283950617284,0.662902689748643,0.6617283950617284,0.6600194603122861,RFE
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,SKB
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,SKB
CNN,0.7580246913580246,0.7610502472743311,0.7580246913580246,0.7590113798542767,SKB
Gradient Boosting,0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,SKB
ANN,0.7308641975308642,0.7363682209212734,0.7308641975308642,0.7261828824010074,SKB
Random Forest,0.7234567901234568,0.7267179822247942,0.7234567901234568,0.7234766319647796,SKB
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,SKB
Decision Tree,0.6172839506172839,0.618313591999659,0.6172839506172839,0.6139755788785511,SKB
Logistic Regression,0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,VT
SVM,0.7975308641975308,0.798466146613352,0.7975308641975308,0.796489268193943,VT
ANN,0.7876543209876543,0.7868106343742434,0.7876543209876543,0.783909653356731,VT
CNN,0.7876543209876543,0.7885362613768412,0.7876543209876543,0.7876455532404995,VT
Gradient Boosting,0.7703703703703704,0.770837818583192,0.7703703703703704,0.7693757760861226,VT
Random Forest,0.7481481481481481,0.7480916948932941,0.7481481481481481,0.7473752083474215,VT
KNN,0.6790123456790124,0.6786721158427291,0.6790123456790124,0.6711844776048689,VT
Decision Tree,0.6617283950617284,0.6672772626068797,0.6617283950617284,0.6633181430579048,VT